,0,1,2,3,4,5,6,7,8,9
 US8053849B2,å.,gate dielectric layer,gate dielectric material,molybdenum,polycrystalline silicon gate,metal gate electrode,best mode,various obvious respects,first polycrystalline silicon layer,other embodiments
 US8753943B2,å.,gate dielectric layer,gate dielectric material,various obvious respects,first polycrystalline silicon layer,polycrystalline silicon gate,metal gate electrode,molybdenum,transistor engineering complexity,other embodiments
 US8445975B2,å.,gate dielectric layer,polycrystalline silicon gate,gate dielectric material,metal gate electrode,various obvious respects,molybdenum,first polycrystalline silicon layer,transistor engineering complexity,other embodiments
 US8489898B2,128b/192b/256b aes,re - encrypt bitstreams,secure samu application,execution flag,- configure debugging facilities,u.s. nonprovisional application ser,samu address space,debug management,encrypted binary boot image,secure asset management unit
 US8904190B2,host processor;a,instruction cache;a data cache;a memory interface,128b/192b/256b aes,re - encrypt bitstreams,encrypted binary boot image,execution flag,secure asset management unit,debug management,- configure debugging facilities,k)-byte page size
 US8114746B2,dielectric material 221b.,respective isolation regions 208a.,first opening defines,tri - gate transistor architecture,etch selectivity,tri - gate transistor,second gate electrodes comprises,compressive strain component,second sidewall spacer element,tri - gate transistor element
 US10085017B2,* 30+(960/16)*(544/16)*(384/8)*30)/1000000=26 m byte s,variablescaling rangepicture width1920/960picture height1088/544frame size,encoder embodiments,h.264 encoder,* 30)/1000000=282 m bytes,h.264 implementation,mbs(544/16)bytes,h.264 standards,vhsic hardware description language,uv)frame rate30bit depth1/2
 US10659796B2,encoder embodiments,h.264 encoder,variablescaling rangepicture width1920/960picture height1088/544frame size,* 30+(960/16)*(544/16)*(384/8)*30)*3/1000000=79 m bytes,* 30+(960/16)*(544/16)*(384/8)*30)/1000000=26 m bytes,mbs(544/16)bytes,h.264 implementation,* 30)/1000000=282 m bytes,h.264 standards,uv)frame rate30bit depth1/2
 US11095910B2,encoder embodiments,* 30+(960/16)*(544/16)*(384/8)*30)*3/1000000=79 m bytes,h.264 encoder,* 30+(960/16)*(544/16)*(384/8)*30)/1000000=26 m bytes,variablescaling rangepicture width1920/960picture height1088/544frame size,h.264 implementation,mbs(544/16)bytes,* 30)/1000000=282 m bytes,h.264 standards,vhsic hardware description language
 US11863769B2,variablescaling rangepicture width1920/960picture height1088/544frame size,* 30+(960/16)*(544/16)*(384/8)*30)*3/1000000=79 m bytes,* 30+(960/16)*(544/16)*(384/8)*30)/1000000=26 m bytes,mbs(544/16)bytes,encoder embodiments,* 30)/1000000=282 m bytes,h.264 encoder,h.264 implementation,h.264 standards,vhsic hardware description language
 US9619428B2,particular simd lane,particular thread processor,independent associative global data,communication infrastructure,private write space corresponds,first simd processing unit,second simd processing unit,private write space,public write space,private write spaces
 US10140123B2,first single gpr file,particular simd lane,communication infrastructure,second single gpr file,independent associative global data,private write space,particular thread processor,private write spaces,private write space corresponds,communication mediums
 US7770037B2,pwrokd signal,powerok_internal_3 signal,pwrokd output,other embodiments,de - asserted transistor q5,powerok_internal_1,qualified_powerok_1 signal,powerok_internal_2 signal,particular embodiments,pwru input
 US8719598B2,pwrokd signal,powerok_internal_3 signal,pwrokd output,de - asserted transistor q5,powerok_internal_2 signal,powerok_internal_1,other embodiments,qualified_powerok_1 signal,particular embodiments,1a-1c
 US7893503B2,first active region 405a.,second active region 205b.,subsequent short etch process,semiconductor material 413b.,first active region 305a.,appropriate sidewall spacer structure,respective epitaxial growth processes,second active region 305b.,semiconductor layer 113a,semiconductor layer 413a
 US8039335B2,second active region 205b.,first active region 405a.,subsequent short etch process,semiconductor material 413b.,first active region 305a.,respective epitaxial growth processes,appropriate sidewall spacer structure,semiconductor layer 113a,semiconductor layer 413a,semiconductor alloy 207r.
 US7741167B2,second active region 205b.,first active region 405a.,subsequent short etch process,first active region 305a.,semiconductor material 413b.,respective epitaxial growth processes,second active region 305b.,appropriate sidewall spacer structure,semiconductor layer 113a,respective spacer elements
 US10025721B2,standbywfel2 interface,mem[addr]=mem[addr][0]?((mem[addr]|op1,a.k.a . xc6 state,last page table descriptor,nirqcpu[n]/nfiqcpu[n,clrcpulowpwrpre_m1[i]=(˜cpulowpwrreq[i]|srqcpuprbreq[i]|earlyintrreq[i,srqcpuprbreq[i]=((anysrqprbval_d1|srqanycpuprbrsp)&˜srqmaskprbwakeupcpu[i])|ckexittopstate_d1,cpulowpwractive[i]&˜waitclrcpulowpwr[i]&˜clrcpulowpwrfound,nb_sysdatval assertion,other xbar->mct requests
