Keyword,Patents
ofdm," US8306148B2,  US8625715B2"
addresses, US10019365B2
symbol," US8306148B2,  US8625715B2"
oxide," US8053849B2,  US8753943B2,  US8445975B2"
microcode, US7734873B2
source," US8114746B2,  US7863171B2,  US8124473B2"
integrated," US7902599B2,  US9466900B1,  US10389053B2,  US7716501B2"
host, US8161209B2
tasks, US8854381B2
operation, US7716501B2
substantially, US7586153B2
substrate," US8377761B2,  US7943442B2"
internet, US8554686B2
access," US10387315B2,  US7734873B2,  US9792448B2,  US10956044B2,  US11474703B2"
cpu," US10025721B2,  US10223280B2"
security, US8554686B2
timing," US10956044B2,  US11474703B2,  US20230142598A1"
transition, US7719035B2
pacing, US9679345B2
gpu," US8305380B2,  US8854381B2,  US8373709B2,  US20180314670A1,  US8161209B2,  US8615637B2,  US9679345B2,  US9934551B2"
socket," US9466900B1,  US10389053B2"
partially, US8576924B2
probe," US10025721B2,  US10223280B2,  US8615637B2"
invention," US8053849B2,  US8753943B2,  US8445975B2,  US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2,  US9619428B2,  US10140123B2,  US8306148B2,  US8625715B2,  US8836700B2"
caches," US9946646B2,  US10289567B2"
reserved, US8625715B2
resolution, US10085017B2
image," US10284861B2,  US9934551B2,  US9025899B2,  US9848192B2,  US10659784B2,  US11503295B2,  US20230070744A1,  US10152772B2,  US10354365B2"
exit, US10152602B2
deblocking, US8576924B2
embodiments," US10510164B2,  US11043010B2,  US8373709B2,  US20180314670A1,  US10283437B2"
predetermined," US9025899B2,  US10659784B2"
coherent, US8615637B2
scaling, US10284861B2
connectivity, US8836700B2
layer," US8053849B2,  US8753943B2,  US8445975B2,  US8114746B2,  US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2,  US7893503B2,  US8039335B2,  US7741167B2,  US7517782B2,  US8293641B2,  US7928004B2,  US7719035B2,  US8377761B2,  US7943442B2,  US7586153B2,  US7772077B2,  US7902599B2,  US7723192B2,  US9437561B2,  US11469212B2,  US20230031099A1,  US8124473B2,  US8288756B2,  US8815658B2,  US10283437B2,  US8030148B2,  US8716124B2,  US9006834B2"
sensitive, US8904190B2
resources, US8305380B2
type," US9192052B2,  US8867216B2"
conductor," US9437561B2,  US11469212B2,  US20230031099A1"
supply, US10060955B2
cci, US10223280B2
kernel," US8489898B2,  US8904190B2"
blocks," US8576924B2,  US20210312668A1"
vertex, US8836700B2
connected, US10158530B2
range," US10019365B2,  US10387315B2"
data," US8489898B2,  US8904190B2,  US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2,  US9619428B2,  US10140123B2,  US9378560B2,  US10510164B2,  US11043010B2,  US20210312668A1,  US8730758B2,  US9508408B2,  US10019365B2,  US8854381B2,  US8373709B2,  US20180314670A1,  US10467178B2,  US8836700B2,  US8161209B2,  US7734873B2,  US10152602B2,  US10956044B2,  US11474703B2,  US20230142598A1,  US8726139B2"
step," US7716501B2,  US9025899B2,  US9848192B2,  US10659784B2,  US11503295B2,  US20230070744A1"
dq, US8726139B2
conductive," US7719035B2,  US9192052B2,  US9437561B2,  US11469212B2,  US20230031099A1"
event, US10013240B2
first," US7770037B2,  US8719598B2,  US7893503B2,  US8039335B2,  US7741167B2,  US8576924B2,  US8377761B2,  US7943442B2,  US9192052B2,  US8867216B2,  US7586153B2,  US7772077B2,  US8854381B2,  US9437561B2,  US11469212B2,  US20230031099A1,  US20180314670A1,  US10467178B2,  US7791102B2,  US7734873B2,  US8288756B2,  US8815658B2,  US9466900B1,  US10389053B2,  US8034669B2,  US10283437B2,  US8716124B2,  US10152772B2,  US10354365B2"
appropriate," US8293641B2,  US7928004B2"
count," US9946646B2,  US10289567B2"
compression," US9025899B2,  US9848192B2,  US10659784B2,  US11503295B2,  US20230070744A1"
lines," US10152772B2,  US10354365B2"
dockable," US9971708B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1"
victims," US9946646B2,  US10289567B2"
board," US9192052B2,  US8867216B2"
performance, US7716501B2
iommu, US9535849B2
bus," US8373709B2,  US20180314670A1,  US10467178B2,  US8161209B2,  US8726139B2"
pic, US8554686B2
lds, US10140123B2
etch," US8293641B2,  US7928004B2,  US7723192B2"
indicator, US8726139B2
interposer," US9065722B2,  US9825843B2"
frequency, US10387315B2
compute, US10158530B2
sc," US7902599B2,  US7723192B2"
docking," US9971708B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1"
results, US10013240B2
operating, US8554686B2
pixel," US10284861B2,  US9934551B2,  US10152772B2,  US10354365B2"
node," US10387315B2,  US10158530B2"
task, US8854381B2
power," US7770037B2,  US8719598B2,  US10025721B2,  US8305380B2,  US8487943B2,  US10060955B2,  US10283437B2"
reference," US8730758B2,  US9508408B2,  US10060955B2"
metal," US8053849B2,  US8753943B2,  US8445975B2,  US7517782B2,  US7719035B2,  US7902599B2,  US7723192B2,  US8124473B2"
tessellation, US8836700B2
electrode," US8053849B2,  US8753943B2,  US8445975B2,  US8114746B2,  US8264020B2,  US8183096B2"
locations, US10152772B2
circuit," US7719035B2,  US9192052B2,  US8867216B2,  US7902599B2,  US7791102B2,  US9466900B1,  US10389053B2,  US7716501B2"
double," US8264020B2,  US8183096B2"
fabric, US10158530B2
carbon," US8053849B2,  US8753943B2,  US8445975B2"
transform," US10659784B2,  US11503295B2,  US20230070744A1"
high, US8726139B2
fig," US9437561B2,  US11469212B2,  US20230031099A1,  US9466900B1,  US10389053B2,  US9679345B2,  US10283437B2,  US8716124B2,  US9006834B2"
material," US8114746B2,  US7893503B2,  US8039335B2,  US7741167B2,  US7517782B2,  US8293641B2,  US7928004B2,  US7719035B2,  US8124473B2,  US8288756B2,  US8815658B2,  US8030148B2,  US8716124B2,  US9006834B2"
element, US7772077B2
software," US8554686B2,  US8487943B2"
second," US7770037B2,  US8719598B2,  US7741167B2,  US7943442B2,  US8867216B2,  US7586153B2,  US7772077B2,  US8854381B2,  US10467178B2,  US8288756B2,  US8815658B2,  US8034669B2,  US10283437B2,  US11503295B2,  US10354365B2"
overlap, US8576924B2
uncompressed," US9378560B2,  US10510164B2,  US11043010B2"
diode, US7791102B2
region," US7893503B2,  US8039335B2,  US7741167B2,  US8377761B2,  US7943442B2,  US10387315B2,  US7586153B2,  US7863171B2,  US7772077B2,  US7791102B2,  US8264020B2,  US8183096B2,  US8034669B2,  US8030148B2,  US9025899B2,  US9848192B2,  US10659784B2,  US11503295B2,  US20230070744A1,  US10956044B2,  US11474703B2"
channel," US8306148B2,  US8625715B2,  US7902599B2,  US7723192B2,  US8264020B2,  US8183096B2"
deposition, US7517782B2
sampling," US10152772B2,  US10354365B2"
secure," US8489898B2,  US8904190B2"
domain," US7770037B2,  US8719598B2"
communications, US8867216B2
information," US9792448B2,  US10152602B2"
signal," US7770037B2,  US8719598B2,  US8730758B2,  US9508408B2,  US8726139B2"
driver," US8487943B2,  US9971708B2,  US11194740B2,  US11726926B2,  US20230393995A1"
wherein," US7770037B2,  US7517782B2"
block," US8576924B2,  US9378560B2,  US10510164B2,  US11043010B2,  US20210312668A1,  US10284861B2"
associated, US8305380B2
write," US9619428B2,  US8730758B2,  US9508408B2,  US8161209B2"
destination, US10284861B2
voltage," US10060955B2,  US7791102B2"
geometry, US8836700B2
tables, US9535849B2
base," US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2"
value," US10019365B2,  US10284861B2,  US10013240B2"
transistor," US8377761B2,  US7943442B2,  US7586153B2,  US7772077B2,  US8288756B2,  US8264020B2,  US8183096B2,  US8034669B2"
lc," US7902599B2,  US7723192B2"
imprint," US8293641B2,  US7928004B2"
threshold," US9946646B2,  US10289567B2,  US7716501B2"
module," US7716501B2,  US9792448B2"
signals," US8306148B2,  US8625715B2"
tones," US8306148B2,  US8625715B2"
amorphous," US8053849B2,  US8753943B2"
space, US7734873B2
macroblock, US8576924B2
cache," US9378560B2,  US10510164B2,  US11043010B2,  US20210312668A1,  US10387315B2,  US7734873B2,  US8615637B2,  US9946646B2,  US10289567B2,  US9792448B2"
set," US10019365B2,  US8836700B2,  US9934551B2"
sample, US9934551B2
version," US9378560B2,  US10510164B2,  US11043010B2,  US20210312668A1"
stack, US7723192B2
encoder," US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2"
implantation, US7863171B2
video," US10085017B2,  US10659796B2,  US11095910B2,  US11863769B2,  US8576924B2"
thread," US9619428B2,  US10140123B2,  US10013240B2"
silicon," US8445975B2,  US7719035B2,  US7902599B2,  US7723192B2,  US7791102B2,  US8124473B2"
northbridge," US10025721B2,  US10223280B2"
formed," US8114746B2,  US7893503B2,  US8039335B2,  US8293641B2,  US7928004B2,  US8377761B2,  US7943442B2,  US7586153B2,  US8288756B2,  US8815658B2,  US8264020B2,  US8183096B2,  US8716124B2,  US9006834B2"
respective," US8293641B2,  US7928004B2,  US8377761B2,  US7943442B2,  US7863171B2"
state," US8305380B2,  US9971708B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1,  US10158530B2,  US10152602B2,  US8726139B2"
insulating," US8124473B2,  US8716124B2,  US9006834B2"
portion, US7734873B2
device," US7893503B2,  US8293641B2,  US7928004B2,  US8377761B2,  US7943442B2,  US8730758B2,  US9508408B2,  US7902599B2,  US7723192B2,  US8554686B2,  US8487943B2,  US10060955B2,  US7791102B2,  US9535849B2,  US9971708B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1"
component," US8487943B2,  US8373709B2,  US20180314670A1,  US10467178B2"
smoothing, US8576924B2
acceptability," US9025899B2,  US10659784B2,  US11503295B2,  US20230070744A1"
components, US8487943B2
time, US9679345B2
simd," US9619428B2,  US10140123B2"
peripheral," US8373709B2,  US10467178B2"
link," US9192052B2,  US8867216B2,  US9065722B2,  US9825843B2"
plurality," US9619428B2,  US7770037B2,  US8719598B2,  US8854381B2,  US8726139B2"
resource, US8305380B2
via, US10467178B2
hypervisor, US10152602B2
regions," US7863171B2,  US7772077B2,  US9848192B2"
main, US10387315B2
frame," US9466900B1,  US10389053B2,  US9679345B2"
umd," US8487943B2,  US9971708B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1"
core," US10025721B2,  US10223280B2,  US8854381B2"
configuration, US10158530B2
annealing, US7772077B2
address," US10025721B2,  US9378560B2,  US10510164B2,  US11043010B2,  US20210312668A1,  US10019365B2,  US10387315B2,  US9535849B2,  US8161209B2,  US8615637B2,  US9792448B2"
values," US8306148B2,  US8625715B2,  US10019365B2,  US10284861B2,  US10013240B2"
esd, US7791102B2
body," US7863171B2,  US8264020B2,  US8183096B2"
processor," US8489898B2,  US8904190B2,  US9619428B2,  US10140123B2,  US8305380B2,  US7734873B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1,  US7716501B2,  US9792448B2,  US10152602B2,  US10354365B2"
samu," US8489898B2,  US8904190B2"
graphics," US8305380B2,  US8487943B2"
structures," US9437561B2,  US11469212B2,  US20230031099A1,  US8288756B2,  US8815658B2"
forming, US8815658B2
isolation, US8030148B2
method," US9025899B2,  US9848192B2,  US20230070744A1"
embodiment," US10152772B2,  US10354365B2"
tsvs," US9437561B2,  US11469212B2,  US20230031099A1"
unit," US7770037B2,  US8719598B2,  US8730758B2,  US9508408B2,  US8615637B2"
pilot," US8306148B2,  US8625715B2"
strain," US8034669B2,  US8030148B2"
trenches," US8716124B2,  US9006834B2"
filter, US8576924B2
least, US9192052B2
target, US10019365B2
contact," US7719035B2,  US8264020B2,  US8183096B2"
request," US9535849B2,  US8615637B2,  US9792448B2"
housing," US9466900B1,  US10389053B2"
mandrel, US9006834B2
application," US8489898B2,  US9971708B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1"
table, US9535849B2
selected," US9025899B2,  US9848192B2,  US10659784B2,  US11503295B2,  US20230070744A1"
stored, US9934551B2
memory," US8489898B2,  US8904190B2,  US10025721B2,  US10223280B2,  US8730758B2,  US9508408B2,  US10019365B2,  US10387315B2,  US8305380B2,  US9065722B2,  US9825843B2,  US8554686B2,  US9535849B2,  US8161209B2,  US7734873B2,  US10284861B2,  US8615637B2,  US9946646B2,  US10289567B2,  US9934551B2,  US9792448B2,  US10152602B2,  US10956044B2,  US11474703B2,  US20230142598A1"
drain," US8114746B2,  US7863171B2,  US7772077B2,  US8124473B2"
barrier," US7517782B2,  US7719035B2"
said," US8114746B2,  US7517782B2,  US8377761B2,  US8487943B2,  US8034669B2,  US8030148B2"
migration," US10387315B2,  US9971708B2,  US10503669B2,  US11194740B2,  US11726926B2,  US20230393995A1"
aes, US8904190B2
gasket," US10025721B2,  US10223280B2"
die," US9065722B2,  US9825843B2,  US20230142598A1"
gpr, US10140123B2
transistors," US7863171B2,  US8264020B2,  US8183096B2,  US8034669B2"
vertices, US8836700B2
victim, US9946646B2
port, US8161209B2
logic," US9065722B2,  US9825843B2,  US10060955B2,  US10956044B2,  US11474703B2,  US20230142598A1"
