,0,1,2,3,4,5,6,7,8,9
 US8053849B2,layer,gate,metal,oxide,dielectric,carbon,invention,amorphous,present,electrode
 US8753943B2,gate,layer,metal,dielectric,oxide,invention,present,electrode,carbon,amorphous
 US8445975B2,gate,layer,metal,dielectric,oxide,present,invention,electrode,carbon,silicon
 US8489898B2,samu,code,data,secure,kernel,processor,application,memory,boot,key
 US8904190B2,samu,code,secure,processor,kernel,data,memory,boot,sensitive,aes
 US8114746B2,layer,said,material,gate,mask,semiconductor,formed,drain,source,electrode
 US10085017B2,data,layer,base,encoder,residual,invention,one,video,system,resolution
 US10659796B2,data,layer,base,one,residual,encoder,video,system,invention,processing
 US11095910B2,data,layer,base,residual,one,encoder,video,invention,system,bit
 US11863769B2,data,layer,base,residual,invention,system,encoder,video,one,processing
 US9619428B2,thread,plurality,simd,invention,data,one,processors,write,processing,processor
 US10140123B2,invention,thread,simd,data,processor,result,gpr,present,lds,processing
 US7770037B2,power,signal,domain,ok,unit,wherein,domains,first,plurality,second
 US8719598B2,power,domain,signal,unit,ok,domains,second,first,one,plurality
 US7893503B2,semiconductor,material,active,region,alloy,layer,process,first,formed,device
 US8039335B2,semiconductor,material,active,region,layer,process,alloy,formed,first,gate
 US7741167B2,semiconductor,region,active,material,layer,alloy,process,first,second,gate
 US10025721B2,core,northbridge,unified,gasket,memory,interrupt,address,probe,cpu,power
 US10223280B2,gasket,core,northbridge,unified,interrupt,memory,cci,probe,ace,cpu
 US8306148B2,values,channel,signals,symbol,papr,ofdm,pilots,invention,pilot,tones
 US8625715B2,channel,values,reserved,pilot,signals,tones,ofdm,symbol,estimation,invention
 US8576924B2,blocks,filter,block,deblocking,smoothing,video,partially,first,macroblock,overlap
 US7517782B2,layer,deposition,process,metal,barrier,said,material,seed,wherein,chemical
 US8293641B2,layer,material,respective,process,imprint,formed,device,metallization,etch,appropriate
 US7928004B2,layer,material,respective,process,imprint,formed,device,etch,metallization,appropriate
 US7719035B2,metal,layer,silicide,transition,barrier,silicon,contact,conductive,circuit,material
 US9378560B2,block,texture,shader,compressed,version,cache,address,data,virtual,uncompressed
 US10510164B2,block,texture,shader,cache,compressed,version,address,data,uncompressed,embodiments
 US11043010B2,shader,block,texture,compressed,cache,version,data,address,uncompressed,embodiments
 US20210312668A1,block,texture,shader,cache,compressed,version,processing,data,address,blocks
 US8377761B2,process,region,device,respective,transistor,first,formed,layer,substrate,said
 US7943442B2,process,device,respective,region,formed,layer,first,substrate,transistor,second
 US8730758B2,signal,data,phase,write,clock,memory,device,reference,unit,processing
 US9192052B2,link,circuit,one,connector,board,printed,least,first,type,conductive
 US9508408B2,signal,data,phase,write,memory,clock,device,reference,unit,processing
 US8867216B2,link,first,circuit,one,connector,second,type,board,printed,communications
 US10019365B2,ranges,memory,range,value,set,addresses,target,address,values,data
 US10387315B2,memory,region,access,cache,migration,main,range,node,frequency,address
 US7586153B2,transistor,layer,semiconductor,first,region,second,formed,process,gate,substantially
 US8305380B2,memory,gpu,state,power,graphics,processor,associated,resource,resources,gpus
 US9065722B2,die,routing,logic,link,memory,network,system,one,interposer,example
 US9825843B2,die,routing,logic,memory,one,link,system,network,links,interposer
 US7863171B2,regions,respective,region,transistors,source,drain,implantation,process,body,species
